       z      mass      cnfw      a      b
       0.0000000      -23.848484       43.456657       48.320023       1309.1903
       0.0000000      -23.545454       43.456657       48.320023       1278.4944
       0.0000000      -23.242424       43.456657       48.320023       1247.7985
       0.0000000      -22.939394       43.456657       48.320023       1217.1026
       0.0000000      -22.636362       43.456657       48.320023       1186.4065
       0.0000000      -22.333332       43.456657       48.320023       1155.7106
       0.0000000      -22.030302       43.456657       48.320023       1125.0147
       0.0000000      -21.727272       43.456657       48.320023       1094.3189
       0.0000000      -21.424242       43.433811       48.290333       1063.8060
       0.0000000      -21.121212       43.348587       48.187668       1033.7513
       0.0000000      -20.818180       43.202717       48.013050       1004.1557
       0.0000000      -20.515150       43.002392       47.757046       975.02003
       0.0000000      -20.212120       42.732796       47.427879       946.34486
       0.0000000      -19.909090       42.402691       47.021961       918.13078
       0.0000000      -19.606060       42.057659       46.596859       890.37807
       0.0000000      -19.303030       41.709801       46.168205       863.08720
       0.0000000      -19.000000       41.358829       45.735893       836.25869
       0.0000000      -18.696968       41.004608       45.300018       809.89242
       0.0000000      -18.393938       40.647015       44.860680       783.98887
       0.0000000      -18.090908       40.285912       44.417976       758.54796
       0.0000000      -17.787878       39.921165       43.972008       733.56978
       0.0000000      -17.484848       39.552807       43.523064       709.05408
       0.0000000      -17.181816       39.180809       43.071346       685.00047
       0.0000000      -16.878788       38.805157       42.616631       661.40934
       0.0000000      -16.575756       38.425949       42.153679       638.27951
       0.0000000      -16.272726       38.043304       41.688370       615.61093
       0.0000000      -15.969697       37.657375       41.221123       593.40297
       0.0000000      -15.666667       37.268322       40.752357       571.65479
       0.0000000      -15.363636       36.876431       40.278099       550.36560
       0.0000000      -15.060606       36.481949       39.797958       529.53452
       0.0000000      -14.757576       36.083237       39.317551       509.16055
       0.0000000      -14.454545       35.677689       38.834438       489.24257
       0.0000000      -14.151515       35.270157       38.343227       469.77939
       0.0000000      -13.848485       34.861095       37.853531       450.76953
       0.0000000      -13.545454       34.448242       37.356628       432.21156
       0.0000000      -13.242424       34.028034       36.858082       414.10401
       0.0000000      -12.939394       33.607578       36.355747       396.44508
       0.0000000      -12.636363       33.183228       35.849934       379.23287
       0.0000000      -12.333333       32.752605       35.340115       362.46552
       0.0000000      -12.030303       32.323498       34.829216       346.14093
       0.0000000      -11.727273       31.883614       34.310673       330.25687
       0.0000000      -11.424242       31.446669       33.792645       314.81094
       0.0000000      -11.121212       30.999542       33.270004       299.80075
       0.0000000      -10.818182       30.553911       32.741848       285.22363
       0.0000000      -10.515151       30.100826       32.212234       271.07674
       0.0000000      -10.212121       29.644955       31.680367       257.35730
       0.0000000      -9.9090910       29.187887       31.145582       244.06219
       0.0000000      -9.6060600       28.723404       30.605198       231.18816
       0.0000000      -9.3030300       28.255260       30.061647       218.73197
       0.0000000      -9.0000000       27.784296       29.515352       206.69007
       0.0000000      -8.6969690       27.309875       28.966318       195.05876
       0.0000000      -8.3939390       26.831537       28.414711       183.83425
       0.0000000      -8.0909090       26.348949       27.858030       173.01257
       0.0000000      -7.7878790       25.862007       27.297995       162.58954
